"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
-0.405013016647112,5.47880467478001,-5.53417002847985,7.41051143307283e-07,0.000151646011234972,5.74993248934975,"RETSAT","NS",""
-0.302840257104362,5.53513570024164,-5.52544929510016,7.6576284817144e-07,0.000154693912803043,5.71913002022764,"EIF2B4","NS",""
0.912224986785205,5.1296654623701,5.48981527753041,8.75473777771442e-07,0.000171558061858552,5.59341388618425,"RACGAP1","NS",""
-0.573636757606996,6.70259992696608,-5.4880979704441,8.81135989277592e-07,0.000171558061858552,5.58736127761817,"CREBL2","NS",""
-0.390570200572128,4.99020706746526,-5.48786507852401,8.81906645334944e-07,0.000171558061858552,5.58654049850486,"KIAA0930","NS",""
0.559017347344281,4.6513091599098,5.47017036414445,9.42446719342188e-07,0.00018015983762498,5.52420933386374,"ZWILCH","NS",""
0.729918800013223,4.95323385823779,5.46832493261759,9.48991973273675e-07,0.00018015983762498,5.51771208767284,"PLEKHG4","NS",""
-0.357559183534605,5.04368819721592,-5.44927621209658,1.01922874851404e-06,0.000191190326075425,5.45068528011873,"AKR7A3","NS",""
0.254724572383567,6.23696592670898,5.44185907033354,1.04794337195917e-06,0.000193562549350464,5.42460561511315,"DIABLO","NS",""
0.902875160158787,4.78543293270152,5.43970188525385,1.05644343746525e-06,0.000193562549350464,5.41702268213897,"ENC1","NS",""
0.297463504897402,5.87554051679354,5.4184918997138,1.14372425978003e-06,0.000207145553578782,5.34251418150539,"STARD3NL","NS",""
-0.766735883216083,4.53000144026382,-5.41053789081753,1.17825733641923e-06,0.000210975009658611,5.31459557392986,"GSEC","NS",""
-0.391338616553622,5.22986536709239,-5.39008863289027,1.27182954762318e-06,0.00022300981334659,5.2428768632297,"VAMP2","NS",""
0.632958088671407,5.52020961202142,5.38967926039977,1.27377566803282e-06,0.00022300981334659,5.24144199306623,"GMNN","NS",""
0.514701141693338,4.45803007020992,5.37478221141356,1.34662736003609e-06,0.000233173706726249,5.18925034499252,"CCNE1","NS",""
-0.843198485269266,4.92164512638866,-5.35377586146993,1.45638070463795e-06,0.000248984847189199,5.11573227468082,"AEBP1","NS",""
-0.624732050540417,5.86261091077825,-5.35136214874352,1.46954311027451e-06,0.000248984847189199,5.10729061311048,"ACSF2","NS",""
-0.761031141891559,5.06740682848108,-5.34797250599249,1.48822553872601e-06,0.000249467763975594,5.0954378070956,"ABCG1","NS",""
0.291489379938327,5.60002451260731,5.34353818884812,1.51301953660798e-06,0.000250954198298232,5.07993563747562,"PPP4C","NS",""
